"age_n","isotope","id","zeros"
0,"d13C","7",0.287592087407658
0,"d13C","7",0.572294622725988
0,"d13C","7",0.584025803084809
0,"d13C","7",0.605795003988015
0,"d13C","7",0.869230113005781
0,"d13C","7",0.893796759940759
0,"d13C","7",0.925588235294118
0,"d13C","8",0.26809290070962
0,"d13C","8",0.560082267299777
0,"d13C","8",0.651864923218653
0,"d13C","8",0.742187746897725
0,"d13C","8",0.831118051970071
0,"d13C","8",0.890298507462686
0,"d13C","8",0.954179104477612
0,"d13C","9",0.137866525170458
0,"d13C","9",0.418398778804675
0,"d13C","9",0.512585181339992
0,"d13C","9",0.588216579163338
0,"d13C","9",0.616223250943571
0,"d13C","9",0.702849415691863
0,"d13C","9",0.83036357894508
0,"d13C","9",0.865481056397251
0,"d13C","9",0.924362477646606
0,"d13C","13",0.297497269332993
0,"d13C","13",0.487489065520251
0,"d13C","13",0.546608845137585
0,"d13C","13",0.606901718740368
0,"d13C","13",0.674556497657489
0,"d13C","13",0.755752687991859
0,"d13C","13",0.868464516673604
0,"d13C","13",0.956346039519392
0,"d13C","20",0.137676549893097
0,"d13C","20",0.359971689595462
0,"d13C","20",0.383294191395469
0,"d13C","20",0.47717121963442
0,"d13C","20",0.637311609019455
0,"d13C","20",0.702052172955121
0,"d13C","20",0.764005665309024
0,"d13C","20",0.895892760884653
0,"d13C","22",0.231145015938879
0,"d13C","22",0.564976789562904
0,"d13C","22",0.909380145875558
0,"d13C","24",0.249668987942515
0,"d13C","24",0.568721318898956
0,"d13C","24",0.663052426355692
0,"d13C","24",0.702529953757949
0,"d13C","24",0.869097060068572
0,"d13C","24",0.898629557064292
0,"d13C","24",0.9323419393228
0,"d13C","26",0.250028773695616
0,"d13C","26",0.466322849914716
0,"d13C","26",0.58746757003838
0,"d13C","26",0.606217700429073
0,"d13C","26",0.773641422799595
0,"d13C","26",0.876252687687974
0,"d13C","26",0.933583440382222
0,"d13C","27",0.315629952010129
0,"d13C","27",0.587620617476377
0,"d13C","27",0.66289558844513
0,"d13C","27",0.764417479058651
0,"d13C","27",0.82968509371268
0,"d13C","27",0.969967564933379
0,"d13C","27",0.984567625238571
0,"d13C","31",0.314933030556893
0,"d13C","31",0.399629189347591
0,"d13C","31",0.462594537063186
0,"d13C","31",0.584786442175553
0,"d13C","31",0.670247789862244
0,"d13C","31",0.737370285008566
0,"d13C","31",0.831875357119951
0,"d13C","31",0.853371091004853
0,"d13C","31",0.924218122919765
0,"d13C","31",0.965930137462272
0,"d13C","32",0.281993055208179
0,"d13C","32",0.3278
0,"d13C","32",0.393291202498834
0,"d13C","32",0.49308726544683
0,"d13C","32",0.552007278872676
0,"d13C","32",0.678220879625465
0,"d13C","32",0.802088661063105
0,"d13C","32",0.848918565552718
0,"d13C","32",0.960157080878278
0,"d13C","33",0.174543063538576
0,"d13C","33",0.21716326743305
0,"d13C","33",0.249840846988035
0,"d13C","33",0.264942182221014
0,"d13C","33",0.462822005766209
0,"d13C","33",0.537028591331355
0,"d13C","33",0.588602679888433
0,"d13C","33",0.869569178568688
0,"d13C","34",0.412448699675264
0,"d13C","34",0.586573273180048
0,"d13C","34",0.63783219920114
0,"d13C","34",0.749751554422582
0,"d13C","34",0.802121379924669
0,"d13C","34",0.895283521893529
0,"d13C","34",0.984646668844393
2,"d13C","T5",0.185855953113304
2,"d13C","T5",0.338030701823036
2,"d13C","T5",0.341320929200266
2,"d13C","T5",0.370875943537271
2,"d13C","T5",0.509077948956348
2,"d13C","T5",0.515084207347951
2,"d13C","T5",0.559893964797183
2,"d13C","T5",0.609673234693829
2,"d13C","T5",0.65880912053603
2,"d13C","T5",0.781820063301899
2,"d13C","T5",0.819578404406286
2,"d13C","T5",0.86865768934226
2,"d13C","T5",0.899960585597535
2,"d13C","T5",0.966486083817099
2,"d13C","T3",0.219970973514357
2,"d13C","T3",0.3258426676973
2,"d13C","T3",0.378051607651073
2,"d13C","T3",0.412077401261967
